Title,Original title,ID,Language,Details,Genre IDs,Popularity,Release date,Review score,Number of reviews
Operation Fortune: Ruse de Guerre,Operation Fortune: Ruse de Guerre,739405,en,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"[28, 53, 35]",62.453,2023-01-04,6.6,1166
Knock at the Cabin,Knock at the Cabin,631842,en,"While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.","[53, 9648, 27]",74.929,2023-02-01,6.3,2090
Rascal Does Not Dream of a Sister Venturing Out,青春ブタ野郎はおでかけシスターの夢を見ない,1056803,ja,"After a draining December, Sakuta is quickly nearing the end of his second year of high school. Since Mai is a third-year student, they don't have much time left together before graduation rolls around. Meanwhile, his sister, Kaede, is slowly but steadily venturing outdoors again. Just as she begins to find her footing, she announces her most ambitious goal yet—attending her brother's high school! Sakuta knows better than anyone how difficult this will be for Kaede, and he's ready to support her however he can. He's just not sure if that's what's best for her...or what she really wants...","[16, 18]",75.643,2023-06-23,8.0,11
Kho Gaye Hum Kahan,खो गए हम कहाँ,875188,hi,"Three best friends juggle life as 20-somethings in Mumbai, where romance, ambition and heartbreak collide with the addictive draw of social media.",[18],65.378,2023-12-26,6.5,21
It Lives Inside,It Lives Inside,1024773,en,"Desperate to fit in at school, Sam rejects her East Indian culture and family to be like everyone else. However, when a mythological demonic spirit latches onto her former best friend, she must come to terms with her heritage to defeat it.","[27, 9648]",84.163,2023-09-06,5.9,112
Scarygirl,Scarygirl,502345,en,"As her world is shrouded in darkness, a young girl must overcome her fears and travel to a mysterious city of light, save her father from a dangerous scientist and prevent the destruction of her planet.","[16, 12]",63.415,2023-10-05,7.2,39
The White Storm 3: Heaven or Hell,掃毒3︰人在天涯,1093485,cn,"Hong Kong police agent Cheung (by Aaron Kwok) works undercover in Kang’s (by Sean Lau) drug cartel, while another undercover cop Au (by Louis Koo) successfully earns their trust in an incident, a brotherly-bond is built among the three. After the Police busts the syndicate in Hong Kong, Kang subsequently hides away in the Golden Triangle, by chance he receives a tip-off about the betrayal within his circle of trust…","[28, 18, 80]",63.398,2023-07-06,6.3,43
Once Upon a Studio,Once Upon a Studio,1139087,en,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.","[16, 10751, 14, 35]",67.524,2023-09-24,8.4,274
Renfield,Renfield,649609,en,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.","[35, 27, 14]",65.603,2023-04-07,6.7,1240
Peter Pan & Wendy,Peter Pan & Wendy,420808,en,"Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.","[10751, 14, 28, 12]",76.94,2023-04-20,5.6,583
The Killer,The Killer,800158,en,"After a fateful near-miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.","[80, 53]",61.499,2023-10-25,6.6,1431
Sympathy for the Devil,Sympathy for the Devil,1030987,en,"After being forced to drive a mysterious passenger at gunpoint, a man finds himself in a high-stakes game of cat and mouse where it becomes clear that not everything is as it seems.","[28, 53]",61.888,2023-07-20,6.3,144
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,828898,en,"A nationwide manhunt for Hank Venture leads to untold dangers and unexpected revelations, while The Monarch is literally out for Dr Venture's blood. An imposing evil from the past reemerges to wreak havoc on the Ventures, The Guild, and even the Monarch marriage—it will take friends and foes alike to restore the Ventures' world to order… or end it once and for all.","[16, 28, 12, 878]",64.466,2023-07-21,7.3,61
Nimona,Nimona,961323,en,"A knight framed for a tragic crime teams with a scrappy, shape-shifting teen to prove his innocence.","[16, 14]",63.79,2023-06-23,8.0,652
The Wonderful World of Mickey Mouse: Steamboat Silly,The Wonderful World of Mickey Mouse: Steamboat Silly,1139979,en,Mickey Mouse and his friends must stop hundreds of old film reel versions of Mickey from wreaking havoc all over town.,"[16, 35]",70.015,2023-07-28,7.3,16
To Catch a Killer,To Catch a Killer,605886,en,Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,[53],66.964,2023-04-06,7.0,686
Fist of the Condor,El puño del cóndor,1064517,es,"Upon the empire’s fall to invading conquistadors, the 16th-century Incas quickly concealed a sacred manual containing the secrets behind their deadly fighting technique. But after centuries of careful safeguarding, the manual is again at risk of falling into the wrong hands, leaving its rightful guardian to battle the world’s greatest assassins to protect the ancient secrets within.",[28],69.203,2023-04-04,7.5,59
The Boat,The Boat,1052939,it,The trip aboard a luxury yacht of three couples that will turn from an exciting experience to a terrible nightmare.,[53],64.451,2023-05-26,5.0,18
R.A.D.A.R.: The Adventures of the Bionic Dog,R.A.D.A.R.: The Adventures of the Bionic Dog,1116410,en,"Gabe and Kylie hunt for lost pirate treasure, hoping to bring tourists to their sleepy Florida town — and save Gabe’s mom’s diner. When they find a precious sapphire, they’re helped by R.A.D.A.R., a clever dog who’s actually a robot! But the mad scientist who invented the treasure-hunting dog wants to steal him back — along with the town’s famous sapphire! Can Gabe and Kylie protect the dog, guard the jewel, and save the town?","[10751, 878, 35, 12]",70.757,2023-06-27,6.9,21
97 Minutes,97 Minutes,940241,en,"A hijacked 767 will crash in just 97 minutes when its fuel runs out. Against the strong will of NSA Deputy Toyin, NSA Director Hawkins prepares to have the plane shot down before it does any catastrophic damage on the ground, leaving the fate of the innocent passengers in the hands of Tyler, one of the alleged hijackers on board who is an undercover Interpol agent - or is he?","[28, 53, 18]",65.54,2023-06-09,4.8,59
The Tank,The Tank,1098160,en,"In 1978 Oregon, Ben and Jules inherit an abandoned coastal property from Ben's late mother, who's never mentioned it. The untouched house has been kept a secret for 40 years and comes with a beautiful private cove and beach. Jules searches for answers while Ben unwittingly awakens a fiercely protective creature.","[27, 53]",60.558,2023-04-21,5.3,69
Freestyle,Freestyle,1152797,pl,"Trying to check out a recording from his debut album, a street rapper and his friend run into trouble when a major drug deal turns into a total disaster for them.","[80, 28, 53]",101.536,2023-09-13,6.8,44
A Haunting in Venice,A Haunting in Venice,945729,en,"Celebrated sleuth Hercule Poirot, now retired and living in self-imposed exile in Venice, reluctantly attends a Halloween séance at a decaying, haunted palazzo. When one of the guests is murdered, the detective is thrust into a sinister world of shadows and secrets.","[9648, 53, 80]",73.289,2023-09-13,6.7,1622
Rally Road Racers,Rally Road Racers,1008102,en,"Zhi, a rookie race car driver, gets the opportunity to compete against the reigning champion of the rally car circuit. With help from a former driver-turned-mechanic, Zhi must overcome treacherous terrain, rival racers, and unexpected obstacles to prove he has what it takes to be the next great racer.","[16, 10751, 35]",68.49,2023-05-12,7.4,19
Finestkind,Finestkind,507532,en,Two brothers are pulled into a deal with an organized crime syndicate in Boston.,"[80, 18, 53]",72.7,2023-09-08,7.3,116
The Devil Conspiracy,The Devil Conspiracy,296271,en,"A powerful biotech company has breakthrough technology allowing them to clone history’s most influential people with just a few fragments of DNA. Behind this company is a cabal of Satanists that steals the shroud of Christ, putting them in possession of Jesus’ DNA. The clone will serve as the ultimate offering to the devil. The Archangel Michael comes to earth and will stop at nothing to end the devil’s conspiracy.","[27, 14, 878, 53]",56.209,2023-01-13,6.5,330
Black Clover: Sword of the Wizard King,映画 ブラッククローバー 魔法帝の剣,812225,ja,"As a lionhearted boy who can’t wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.","[16, 14, 28, 12]",71.283,2023-06-16,8.2,225
Confidential Informant,Confidential Informant,1070802,en,"During a crack epidemic two narcotics agents hunting for a cop killer. Hoping for leads, Moran and Thorton pay off a junkie informant. To provide for his wife and son, Moran involves the stool pigeon in a deadly scheme. This causes the partners to come under the scrutiny of a suspicious internal affairs agent.","[53, 28, 9648]",57.291,2023-06-27,6.2,99
Tequila Re-Pasado,Tequila Re-Pasado,736554,es,A workaholic must outwit his multiplying clones after a magical tequila travels him back in time – again and again – in order to make things right with his family.,"[35, 14]",61.557,2023-12-20,7.3,14
Eileen,Eileen,664341,en,"During a bitter 1964 Massachusetts winter, young secretary Eileen becomes enchanted by Rebecca Saint John, the glamorous new counselor at the prison where she works. Their budding friendship takes a twisted turn when Rebecca reveals a dark secret — throwing Eileen onto a sinister path.","[18, 53, 9648, 80]",94.948,2023-12-01,6.5,36
Stolen Vacation,Viaje todo robado,1171353,es,"After years without a proper vacation, a debt-ridden family heads to San Antonio, Texas, with plans to spend a big wad of cash — if only it was theirs.",[35],60.142,2023-08-31,7.4,29
JUNG_E,정이,843794,ko,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.","[878, 10752]",61.181,2023-01-12,6.2,524
The Iron Claw,The Iron Claw,850165,en,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s. Through tragedy and triumph, under the shadow of their domineering father and coach, the brothers seek larger-than-life immortality on the biggest stage in sports.",[18],60.804,2023-12-21,8.3,24
Sons of Summer,Sons of Summer,1152238,en,"To mark the anniversary of his father's death, Sean takes his friends on a road trip to his surfer dad's favorite beach. But Sean's drug-dealing friend forces him to do one last favor – steal a heroin shipment from a local mobster.","[28, 9648, 53]",62.48,2023-07-28,7.0,12
Ferrari,Ferrari,365620,en,"Set during the summer of 1957. Ex-racecar driver, Enzo Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing ten years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgement of another.","[18, 36]",58.224,2023-12-14,6.9,144
The Color Purple,The Color Purple,558915,en,"A decades-spanning tale of love and resilience and of one woman's journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.",[18],62.776,2023-12-25,8.5,19
Mother's Day,Dzień Matki,1107872,pl,"Nina, a former NATO special operations agent living in hiding, has to use all her deadly skills to rescue her son who has been kidnapped by ruthless gangsters. Finding Max is a double opportunity for her. A chance to feel the adrenaline rush again, and an opportunity to get back into the life of the son she had to abandon years ago.",[53],62.125,2023-05-24,5.9,193
Sheroes,Sheroes,1130818,en,"When four thick-as-thieves friends arrive in Thailand, they quickly find themselves in over their heads. Fighting to stay alive, they employ their unique set of skills and unleash their fierce loyalty in a heart-pumping battle for survival.","[28, 35, 80, 12]",55.055,2023-06-23,6.3,103
NAGA,ناقة,1160025,ar,"Stranded amid Riyadh's desert dunes, Sarah, a local Saudi girl, escapes heartaches and the vengeance of a vigorous camel after discreetly sneaking out of her parent's home for a romantic date that landed her astray.","[53, 35]",58.004,2023-09-08,6.0,13
Killer Book Club,El club de los lectores criminales,1010826,es,"Eight horror-loving friends fight for their lives when a killer clown who seems to know the grim secret they share begins to pick them off, one by one.","[27, 53]",63.09,2023-08-25,5.7,224
Slotherhouse,Slotherhouse,1040892,en,"Wanting to have a killer year, sorority sister Emily Young realizes she might just be the best option for her sorority. While beginning her campaign, she finds an adorable sloth that steals her heart and soon realizes she just might steal the hearts, and votes, of her sorority sisters. But when bodies slowly begin to pile up in the Sigma Lambda Theta house, Emily and her sorority sisters realize the deaths are being caused by their new house mascot, the cuddly sloth Alpha. Will Emily and her sisters escape the house with their lives? Or is this death-sloth with three razor sharp claws too quick for them?","[35, 27, 53]",49.133,2023-08-30,4.5,43
A Man of Reason,보호자,656156,ko,"After 10 years of incarceration on behalf of his employer, all Su-hyuk wants is a normal life - one he hopes will include his former girlfriend, Min-seo, and their daughter, In-bi. But once you've penetrated the upper echelons of the underworld, normal can prove hard to come by. Sometime in the past decade, meanwhile, Su-hyuk's employer has adopted an air of legitimacy. These days, the old gang steal and murder in the name of urban development. And they want the reluctant Su-hyuk on board.","[28, 53, 18]",83.735,2023-08-15,6.6,42
SpongeBob SquarePants Presents The Tidal Zone,SpongeBob SquarePants Presents The Tidal Zone,1088812,en,GrandPat travels through alternate dimensions and timelines to get home.,"[16, 35, 12]",63.341,2023-01-13,7.0,30
Metalocalypse: Army of the Doomstar,Metalocalypse: Army of the Doomstar,828899,en,"After the heroic rescue of Toki Wartooth, DETHKLOK frontman Nathan Explosion finds himself traumatized in a BRUTAL professional and romantic flat-spin all while he is tasked with fulfilling the prophecy and confronting the ultimate songwriting challenge: write the SONG OF SALVATION and save the planet. Can Nathan Explosion look beyond his brutally damaged ego to save his band, stop the Metalocalypse, and finally face the ultimate evil: Salacia?","[16, 35, 10402]",47.261,2023-08-22,6.8,35
The Other Zoey,The Other Zoey,912916,en,"Highly intelligent computer major Zoey Miller is uninterested in romantic love, but her life is turned upside down when Zack, the school's soccer star, gets amnesia and mistakes Zoey for his girlfriend.","[10749, 18, 35]",62.692,2023-10-19,7.2,215
The End of Sex,The End of Sex,933092,en,"A young couple, feeling the pressures of parenting and adulthood, sends their kids to camp for the first time and embark on a series of sexual adventures to reinvigorate their relationship.","[35, 10749, 18]",57.634,2023-04-28,6.2,15
Notre tout petit petit mariage,Notre tout petit petit mariage,982186,fr,"Max and Lou have made a promise to each other. For their wedding it will be only them and their witnesses. But that... That was without counting on the HUGE surprise party that awaits them! They wanted to be 4, they find themselves 300 and everything is going to get out of control very quickly... They were dreaming small, small... They will have big, VERY VERY big!",[35],62.943,2023-04-26,4.2,56
Head to Head,راس براس,1153366,ar,"Hilarity meets danger when a lovesick chauffeur and a bootleg mechanic mistakenly pick up a retired crime lord, igniting a wild, life-changing adventure.","[35, 53, 28]",56.577,2023-08-03,6.3,59
Flamin' Hot,Flamin' Hot,626332,en,"The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin’ Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.","[35, 18]",42.333,2023-03-11,8.2,453
The Three Musketeers: D'Artagnan,Les Trois Mousquetaires : D'Artagnan,796185,fr,"D'Artagnan, a spirited young Gascon, is left for dead after trying to save a noblewoman from being kidnapped. Once in Paris, he tries by all means to find his attackers, unaware that his quest will lead him to the very heart of a war where the future of France is at stake. Aided by King's Musketeers Athos, Porthos and Aramis, he faces the machinations of villainous Cardinal Richelieu and Milady de Winter, while falling in love with Constance, the Queen's confidante.","[12, 28, 18, 36]",56.589,2023-04-05,7.1,846
Appendage,Appendage,1081662,en,"After hitting a breaking point, Hannah's inner thoughts physicalize into a monstrous creature that threatens to upend her life.",[27],45.17,2023-03-11,5.8,93
Welcome al Norte,Welcome al Norte,1160195,es,"Polito is the manager of a courier and parcel branch in Yucatán, who seeks to fulfill his dream of receiving a promotion and having a place in Cancun to move in with his wife Teo and son. Pressured by his wife, he will be willing to do anything to get it and he plans a strategy where he will achieve his transfer but a little further north: Tijuana.",[35],57.043,2023-09-14,8.4,61
The Seven Deadly Sins: Grudge of Edinburgh Part 2,七つの大罪 怨嗟のエジンバラ 後編,1064835,ja,"Reunited with Lancelot for the first time since their tragic accident, Tristan must learn to conquer his inner demons in order to save his mother's life.","[28, 12, 14, 16]",56.05,2023-08-08,7.1,141
The Best Man,The Best Man,1094319,en,"Mercenaries seize control of a remote resort hotel during a wedding and it's up to the best man, the groom and their drunken best friend to stop the terrorists and save the hostages.","[28, 53]",57.318,2023-04-21,6.2,96
LEGO Disney Princess: The Castle Quest,LEGO Disney Princess: The Castle Quest,1153222,en,"Tiana, Moana, Snow White, Rapunzel, and Ariel are off on an adventure as they are each unexpectedly transported to a mysterious castle. Shortly after arriving, they soon discover that Gaston has hatched an evil plan to take over all their kingdoms! The Princess characters must work together to solve challenges hidden deep within the castle walls and try to save their kingdoms from Gaston. Will bravery, quick-thinking, and teamwork prevail?",[16],52.237,2023-08-18,6.8,26
Darkland: The Return,Underverden 2,1085218,da,"Seven years ago, Zaid went to war against the Copenhagen underworld to avenge his dead brother. His identity as a respected doctor of cardiology and life as a family man is but a fading dream, and in prison Zaid suffers the loss of his son Noah, whom he barely knows. When a police agent approaches Zaid and offers him a deal to be released in exchange for infiltrating the Copenhagen underworld, he sees his chance to reclaim the remnants of the family life he left behind. But everything has a price, and Zaid realizes that he has now seriously endangered his son's life. After all, once you become part of the underworld, is there any way out?","[53, 28]",60.221,2023-04-13,6.5,354
Alien Invasion,Alien Invasion,981314,en,"A group of friends find a large egg, but little do they know it contains an unwelcome predator. Now they must stop it from reaching civilization.","[878, 27]",58.145,2023-05-11,5.5,63
"Red, White & Royal Blue","Red, White & Royal Blue",930094,en,"After an altercation between Alex, the president's son, and Britain's Prince Henry at a royal event becomes tabloid fodder, their long-running feud now threatens to drive a wedge in U.S./British relations. When the rivals are forced into a staged truce, their icy relationship begins to thaw and the friction between them sparks something deeper than they ever expected.","[35, 10749]",61.319,2023-07-27,8.1,959
Wingwomen,Voleuses,1010928,fr,"Tired of life on the run, a pro thief decides to retire — but not before one easy last job with her partner in crime and a feisty new getaway driver.","[28, 35, 18]",49.087,2023-11-01,6.1,285
Goatman,Goatman,1115694,en,A series of grisly murders point to the terrifying cryptid.,[27],45.316,2023-04-17,6.7,21
Animal,Animal,781732,hi,"A son undergoes a remarkable transformation as the bond with his father begins to fracture, and he becomes consumed by a quest for vengeance.","[28, 80, 18]",65.111,2023-12-01,7.3,43
Quicksand,Arenas Mortales,954388,en,A married couple on the brink of divorce becomes trapped in quicksand while hiking through a Colombian rainforest. It’s a struggle for survival as they battle the elements of the jungle and must work together in order to escape.,"[53, 27, 9648]",58.955,2023-08-31,6.6,59
Infinity Pool,Infinity Pool,667216,en,"While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you’re rich enough to afford it, you can watch yourself die instead.","[27, 878]",48.308,2023-01-27,6.2,522
The Ritual Killer,The Ritual Killer,862552,en,"Unable to process the death of his daughter, Detective Boyd embarks on a hunt for a serial killer who murders according to a brutal tribal ritual: Muti. The only person who can help Boyd is Professor Mackles, an anthropologist who hides an unspeakable secret. The line between sanity and madness thins as Boyd goes deeper into the killer’s world.","[9648, 53, 28, 18]",60.965,2023-03-09,6.0,218
Beautiful Disaster,Beautiful Disaster,1016121,en,"Bad-boy Travis is exactly what college freshman Abby needs and wants to avoid. He spends his nights fighting in underground boxing matches, and his days as the ultimate college campus charmer. But Abby wants nothing to do with Travis. Intrigued by Abby’s resistance, Travis offers her a simple bet: if he loses his next fight, he must remain sex-free for a month. If he wins, Abby must live in his apartment for the same amount of time. Either way, Travis has no idea that Abby’s dark past is about to emerge, and he may have finally met his match.","[10749, 18, 35]",39.751,2023-04-04,6.6,533
Fair Play,Fair Play,910571,en,"An unexpected promotion at a cutthroat hedge fund pushes a young couple's relationship to the brink, threatening to unravel not only their recent engagement but their lives.","[18, 53]",53.92,2023-09-28,6.4,333
Air,Air,964980,en,Discover the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,"[18, 36]",59.469,2023-04-05,7.4,1544
Reptile,Reptile,866463,en,"Following the brutal murder of a young real estate agent, a hardened detective attempts to uncover the truth in a case where nothing is as it seems, and by doing so dismantles the illusions in his own life.",[80],33.853,2023-09-29,6.8,607
The Slumber Party,The Slumber Party,1029549,en,"The hilarious aftermath of a sleepover birthday party hypnotism gone wrong as best friends Megan and Paige, along with soon-to-be step-sister Veronica, wake up with absolutely no memory of the night before.","[35, 10751]",42.639,2023-07-27,7.7,20
Los Habitantes,Los Habitantes,1105902,es,,"[53, 27]",69.505,2023-04-27,6.8,59
Asteroid City,Asteroid City,747188,en,"In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events.","[35, 18]",49.728,2023-06-08,6.5,1298
Night Train,Night Train,1007427,en,"Mother Holly McCord is driven to extremes to save the life of her young son. Even if it means hauling black market drugs in her souped-up truck, with the Feds in hot pursuit. With two bounties on her head and her son’s life on the line, Holly climbs behind the wheel of “Night Train,” ready to outrun, out gun, and outlast them all.","[28, 53, 80]",52.479,2023-01-13,6.4,27
There's Something Wrong with the Children,There's Something Wrong with the Children,899579,en,"Margaret and Ben take a weekend trip with longtime friends Ellie and Thomas and their two young children. Eventually, Ben begins to suspect something supernatural is occurring when the kids behave strangely after disappearing into the woods overnight.","[27, 9648, 53]",40.847,2023-01-17,5.9,152
"Maggie Simpson in ""Rogue Not Quite One""","Maggie Simpson in ""Rogue Not Quite One""",1121116,en,"On their way to daycare, Homer loses track of Maggie who hops in Grogu’s hovering pram for a hyperspace-hopping adventure across the galaxy. Facing a squadron of Imperial TIE fighters, Maggie brings the battle to Springfield in this epic short celebrating all things Star Wars.","[16, 10751, 878, 35]",47.483,2023-05-04,6.3,44
Dave Chappelle: The Dreamer,Dave Chappelle: The Dreamer,1215439,en,"From his onstage tackle to the slap heard round the world, Dave Chappelle lets loose in this freewheeling and unfiltered stand-up comedy special.",[35],50.327,2023-12-31,7.3,28
Rage,Rabia,1129932,es,"Alan and his father Alberto flee from the painful loss of his mother. While hiding in a secluded housing unit, Alan discovers hidden messages from his uncle that lead him to believe that his father is a werewolf. His life and his neighbors’ lives are in danger. Alan decides to do something once for all. Destroying the beast does not seem a far-fetched plan in the violent reality he lives day by day.","[27, 18, 53]",38.421,2023-06-03,5.9,11
My First Barbie: Happy DreamDay,My First Barbie: Happy DreamDay,1165223,en,"Sing along with Barbie, Barbie, Teresa, and Renee in this musical adventure as they plan the biggest surprise birthday party ever for Barbie’s sister, Chelsea.","[10751, 16]",52.506,2023-02-13,6.4,15
Operation Napoleon,Operation Napoleon,1002338,is,"A modern-day lawyer is sucked into an international conspiracy after being accused of a murder she didn't commit. Her only chance of freedom lies in uncovering the secret of an old German WWII aeroplane, long buried deep beneath the ice, before the CIA.",[53],52.846,2023-01-26,6.3,61
The Roundup: No Way Out,범죄도시 3,955555,ko,"Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.","[28, 80, 35, 53]",43.491,2023-05-31,7.0,155
Bird Box Barcelona,Bird Box Barcelona,805320,es,"After a mysterious force decimates the world’s population, Sebastian must navigate his own survival journey through the desolate streets of Barcelona. As he forms uneasy alliances with other survivors and they try to escape the city, an unexpected and even more sinister threat grows.","[53, 878, 27]",48.038,2023-07-14,6.0,557
Don't Look Away,Don't Look Away,1102425,en,"After a gang of criminals unintentionally unleashes a supernatural force onto the world, a young woman named Frankie is convinced she's being stalked by a killer mannequin. Frankie soon realizes that her friends are in jeopardy too. She must find the man who holds the key to stopping the killings, but Frankie knows that once you see the mannequin, there may be no end in sight, except for your own.","[27, 53]",49.065,2023-09-01,4.4,11
Deep Sea,深海,667717,zh,"Shenxiu has felt a deep sadness since her mother left. A storm plunges her into a dreamlike world of swirling colour. Led by the Hyjinx, and joined by inventive underwater chef Nanhe, she embarks on a quest to find solace in the Eye of the Deep Sea.","[16, 12, 18, 14]",51.576,2023-01-22,6.9,58
Little Dixie,Little Dixie,1058949,en,"Erstwhile Special Forces operative Doc Alexander is asked to broker a truce with the Mexican drug cartel in secrecy. When Oklahoma Governor Richard Jeffs celebrates the execution of a high-ranking cartel member on TV, his Chief of Staff and Doc inform him about the peace he just ended. But it’s too late, as Cuco, the cartel’s hatchet man, has set his vengeful sights on Doc’s daughter Dixie.","[53, 28, 18, 80]",47.044,2023-02-03,5.8,113
Space Wars: Quest for the Deepstar,Space Wars: Quest for the Deepstar,986210,en,"A father and daughter team of space scavengers race against a band of evil mercenaries to reach a legendary lost freighter called the Deepstar. Along their trek through the universe, they encounter monsters, aliens, robots, and something even worse.","[878, 12, 28]",52.707,2023-04-21,4.3,40
Last Call for Istanbul,İstanbul İçin Son Çağrı,1044302,tr,"A chance meeting at the airport leads two married people to an unforgettable night full of excitement, desire, and temptation in New York City.","[10749, 18]",37.49,2023-11-24,6.4,77
All-Time High,Nouveaux riches,1034940,fr,"A con artist in dire need of cash and a woman with a crypto fortune hit it off. Is she the target of his dreams, or is the scammer about to get scammed?","[35, 10749]",37.046,2023-11-17,5.6,65
Teen Wolf: The Movie,Teen Wolf: The Movie,877703,en,"The wolves are howling once again, as a terrifying ancient evil emerges in Beacon Hills. Scott McCall, no longer a teenager yet still an Alpha, must gather new allies and reunite trusted friends to fight back against this powerful and deadly enemy.","[28, 14, 10770]",44.698,2023-01-18,7.6,708
172 Days,172 Days,1134754,id,"Zira was united with Amer for 172 very memorable days. Fate separated, Amer left too soon, leaving many sweet memories for Zira.","[18, 10749]",41.87,2023-11-23,6.0,10
The Three Musketeers: Milady,Les trois mousquetaires : Milady,845111,fr,"D'Artagnan, on a quest to rescue the abducted Constance, runs into the mysterious Milady de Winter again. The tension between the Catholics and the Protestants finally escalates, as the king declares war — forcing the now four musketeers into battle. But as the war goes on, they are tested physically, mentally and emotionally.","[12, 28, 18]",42.881,2023-12-13,6.7,145
Ripper's Revenge,Ripper's Revenge,1105014,en,"One year on from the notorious Ripper murders, London is terrorised once again by a series of brutal killings. When gruesome letters from the Ripper begin landing on his desk, an innocent reporter finds himself drawn into a deadly mystery, threatening the lives of everyone around him.",[27],46.135,2023-04-03,6.5,32
Suitable Flesh,Suitable Flesh,1006947,en,"A once-esteemed psychiatrist helplessly watches her life spiral into a nightmarish maelstrom of supernatural hysteria and gruesome deaths, all linked to a seemingly unstoppable ancient curse.","[27, 53]",42.191,2023-10-27,5.1,36
Little Bone Lodge,Little Bone Lodge,1075335,en,"During a stormy night in the Scottish Highlands, two criminal brothers on the run seek refuge in a desolate farmhouse. But after taking the resident family captive, they find the house holds even darker secrets of its own.","[27, 80, 53]",46.819,2023-11-23,7.0,12
EXmas,EXmas,1192745,en,"When Graham decides to surprise his family by traveling home for Christmas, he is shocked to discover them already celebrating with an unexpected guest of honor, his ex-fiancée, Ali. The two exes battle it out to see who the family will pick to stay through Christmas Day and who must go.","[10749, 35, 10770]",35.717,2023-11-17,6.9,86
Beau Is Afraid,Beau Is Afraid,798286,en,A paranoid man embarks on an epic odyssey to get home to his mother.,"[35, 12, 14]",39.509,2023-04-14,6.8,704
Polite Society,Polite Society,977223,en,"Martial artist-in-training Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.","[35, 28]",42.044,2023-04-27,6.4,114
Love in Taipei,Love in Taipei,745391,en,A young American woman is sent by her parents to a cultural immersion program in Taipei where she begins a new journey of self-discovery and romance.,"[10749, 35, 18]",41.002,2023-08-10,7.1,31
Bihter: A Forbidden Passion,Bihter,1078642,tr,"Bihter, who is desperate for love, sees Adnan, a wealthy and respected older guy, as a way out of the stereotype that society and her materialistic mother have given her.  But she soon discovers that she is not satisfied with his attention and has other needs.","[18, 10749]",39.252,2023-11-16,5.4,32
Two Sinners and a Mule,Two Sinners and a Mule,1111140,en,"Kicked out of a small Western town for sinful behavior, free-spirited Alice and Nora set out for Virginia City to pursue their dream of opening a restaurant. Out on the prairie, they come across an injured bounty hunter named Elden. Hoping to share in the reward, they nurse Elden back to health and help him stalk his prey, Grimes. But as Nora and Alice both develop feelings for Elden, no one notices that Grimes is now on their tail, and the hunters become the hunted…","[37, 28]",44.815,2023-04-21,6.5,29
